RelativeTime	E_N	E_N_SP	E_M	E_M_SP
s	rpm	rpm	Nm	Nm
Relative time	Engine speed	Set point of engine  speed	Effective engine torque	Requiered effective engine torque
0	1015.9	1016.3	153.95	201.63
0.1	1016.4	1016.3	174.91	201.63
0.2	1016.3	1016.3	200.01	201.63
0.3	1016	1016.3	133.18	201.63
0.4	1016.4	1016.3	230.17	201.63
0.5	1016.6	1016.3	185.87	201.63
0.6	1016.2	1016.3	174.94	201.63
0.7	1016	1016.3	212.7	201.63
0.8	1016.2	1016.3	118.31	201.63
0.9	1016.1	1016.3	194.04	201.63
1	1016	1016.3	189.34	201.63
1.1	1016.6	1016.3	155.01	201.63
1.2	1016.2	1016.3	266.13	201.63
1.3	1015.7	1016.3	147.49	201.63
1.4	1016.1	1016.3	172.7	201.63
1.5	1016.2	1016.3	180.68	201.63
1.6	1015.8	1016.3	128.14	201.63
1.7	1016.2	1016.3	236.79	201.63
1.8	1016.3	1016.3	177.43	201.63
1.9	1016.4	1016.3	185.89	201.63
2	1017.2	1024.1	130.61	211.16
2.1	1029.8	1036.1	100.1	225.18
2.2	1042.2	1048.2	188.54	239.19
2.3	1053.8	1060.2	133.17	253.2
2.4	1066.4	1072.2	238.24	267.21
2.5	1077.7	1084.3	189.13	281.23
2.6	1090	1096.3	216.16	295.24
2.7	1101.8	1108.3	311.99	309.25
2.8	1114.2	1120.3	247.33	323.27
2.9	1125.8	1132.4	231.84	337.28
3	1138.1	1144.4	287.88	351.29
3.1	1149.8	1156.4	327.95	365.31
3.2	1162.2	1168.5	317.46	379.32
3.3	1174.2	1180.5	324.75	393.33
3.4	1186	1192.5	321.19	407.35
3.5	1198.3	1204.6	329.91	421.36
3.6	1210.5	1216.6	349.83	435.37
3.7	1222.4	1228.6	366.32	449.39
3.8	1234.4	1240.7	389	463.4
3.9	1246.3	1252.7	405.64	477.42
4	1258.4	1264.7	395.15	491.43
4.1	1270.3	1276.7	422.1	505.44
4.2	1282.8	1288.8	465.58	519.45
4.3	1294.7	1300.8	501.53	533.47
4.4	1306.7	1312.8	464.15	547.48
4.5	1318.9	1324.9	495.14	561.5
4.6	1330.9	1336.9	489.16	575.51
4.7	1342.7	1348.9	504.05	589.52
4.8	1354.7	1361	521.12	603.53
4.9	1366.8	1373	548.31	617.55
5	1379.1	1385	529.97	631.56
5.1	1390.8	1397.1	572.13	645.57
5.2	1402.8	1409.1	565.53	659.59
5.3	1415.3	1421.1	570.46	673.6
5.4	1426.8	1433.1	604.26	687.61
5.5	1438.7	1445.2	614.95	701.63
5.6	1451.2	1457.2	611.48	715.64
5.7	1463.1	1469.2	626.01	729.65
5.8	1475.1	1481.3	653.68	743.67
5.9	1487.3	1493.3	668.87	757.68
6	1499.4	1505.3	660.28	765
6.1	1510.6	1517.4	676.86	765
6.2	1523.2	1529.4	677.37	765
6.3	1535.5	1541.4	702.42	765
6.4	1547.4	1553.5	689.29	765
6.5	1559.2	1565.5	718.63	765
6.6	1571.6	1577.5	705.44	765
6.7	1583.5	1589.5	673.91	765
6.8	1595.5	1601.6	692.95	765
6.9	1607.2	1613.6	698.41	765
7	1619.5	1625.6	692.31	765
7.1	1631.3	1637.7	692.52	765
7.2	1643.2	1649.7	686.73	765
7.3	1656.1	1661.7	686.04	765
7.4	1667.9	1673.8	683.1	765
7.5	1679.3	1685.8	688	765
7.6	1691.5	1697.8	671.6	765
7.7	1703.8	1709.8	680.32	765
7.8	1715.9	1721.9	701.49	765
7.9	1728.1	1733.9	690.32	765
8	1740	1745.9	680.25	765
8.1	1751.7	1758	665.74	765
8.2	1763.8	1770	675.83	765
8.3	1776	1782	681.59	765
8.4	1787.9	1794.1	680.89	765
8.5	1799.9	1806.1	644.71	765
8.6	1811.9	1818.1	665.15	765
8.7	1823.9	1830.2	689.61	765
8.8	1836.1	1842.2	697.41	765
8.9	1848.4	1854.2	681.28	765
9	1859.9	1866.2	687.5	765
9.1	1871.9	1878.3	682.81	765
9.2	1884.1	1890.3	682.78	765
9.3	1896.2	1900	694.91	765
9.4	1900.2	1900	733.27	765
9.5	1899.9	1900	742.67	765
9.6	1900.1	1900	729.33	765
9.7	1899.9	1900	747.63	765
9.8	1900	1900	736.24	765
9.9	1900.2	1900	738.22	765
10	1900	1900	753.45	765
10.1	1899.5	1900	735.51	765
10.2	1899.8	1900	741.22	765
10.3	1899.8	1900	739.5	765
10.4	1900.1	1900	757.92	765
10.5	1899.5	1900	738.18	765
10.6	1899.9	1900	748.29	765
10.7	1900.3	1900	765.92	765
10.8	1899.8	1900	745.17	765
10.9	1899.9	1900	767.44	765
11	1899.9	1900	756.59	765
11.1	1900	1900	750.47	765
11.2	1899.9	1900	758.69	765
11.3	1900.1	1900	751.93	765
11.4	1899.6	1900	743.94	765
11.5	1899.8	1900	746.31	765
11.6	1899.7	1900	738.37	765
11.7	1899.8	1900	745.09	765
11.8	1900.3	1900	744.74	765
11.9	1900.2	1900	760.12	765
12	1899.9	1900	726.15	765
12.1	1900	1900	758.61	765
12.2	1900.1	1900	745.99	765
12.3	1900.3	1900	746.46	765
12.4	1900	1900	757.58	765
12.5	1899.8	1900	740.96	765
12.6	1899.8	1900	734.32	765
12.7	1900	1900	755	765
12.8	1900.3	1900	740.3	765
12.9	1900.1	1900	753.54	765
13	1900.1	1900	755.06	765
13.1	1899.9	1900	755.95	765
13.2	1900	1900	736.06	765
13.3	1900.1	1900	757.1	765
13.4	1899.7	1900	737.85	765
13.5	1899.7	1900	738.39	765
13.6	1899.9	1900	760.98	765
13.7	1900.1	1900	757.34	765
13.8	1899.7	1900	759.28	765
13.9	1899.9	1900	744.64	765
14	1900.1	1900	749.07	765
14.1	1899.3	1900	742.43	765
14.2	1899.9	1900	739.58	765
14.3	1900	1900	764.79	765
14.4	1900.2	1900	743.83	765
14.5	1899.9	1900	762.44	765
14.6	1899.7	1900	748.81	765
14.7	1900	1900	735.11	765
14.8	1900.1	1900	759.36	765
14.9	1899.7	1900	740.99	765
15	1900	1900	750.19	765
15.1	1900.1	1900	746.84	765
15.2	1899.9	1900	749.88	765
15.3	1900	1900	752.07	765
15.4	1900.2	1900	746.72	765
15.5	1899.9	1900	755.73	765
15.6	1900.1	1900	748.96	765
15.7	1900	1900	753.77	765
15.8	1900	1900	773.52	765
15.9	1899.9	1900	724.42	765
16	1900.1	1900	754.4	765
16.1	1899.7	1900	742.03	765
16.2	1899.9	1900	752.09	765
16.3	1900	1900	756.69	765
16.4	1900	1900	750.05	765
16.5	1899.9	1900	751.06	765
16.6	1900.1	1900	759.15	765
16.7	1900	1900	765.06	765
16.8	1899.9	1900	735.67	765
16.9	1899.8	1900	751.89	765
17	1900	1900	755.28	765
17.1	1899.9	1900	735.64	765
17.2	1899.8	1900	752.69	765
17.3	1900.3	1900	745	765
17.4	1900	1900	760.66	765
17.5	1900.1	1900	758.22	765
17.6	1900.1	1900	738.55	765
17.7	1900.2	1900	757.42	765
17.8	1899.7	1900	744.3	765
17.9	1900.1	1900	765.21	765
18	1899.9	1900	746.99	765
18.1	1900.1	1900	764.54	765
